AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747919243;22.05.2025 13:07:23;02;46251;82500;82500;3721;3726;5;-58;30;23,0;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919303;22.05.2025 13:08:23;02;46250;82500;82500;3721;3726;5;-58;31;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919363;22.05.2025 13:09:23;02;46249;82500;82500;3721;3726;5;-58;32;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919423;22.05.2025 13:10:23;02;46248;82500;82500;3721;3721;0;-58;33;23,0;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918701;22.05.2025 12:58:21;02;46260;82500;82500;3721;3721;0;-59;21;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918761;22.05.2025 12:59:21;02;46259;82500;82500;3721;3726;5;-59;22;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918821;22.05.2025 13:00:21;02;46258;82500;82500;3721;3726;5;-59;23;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918882;22.05.2025 13:01:22;02;46256;82500;82500;3721;3726;5;-60;24;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918942;22.05.2025 13:02:22;02;46256;82500;82500;3721;3726;5;-59;25;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919002;22.05.2025 13:03:22;02;46255;82500;82500;3721;3726;5;-59;26;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919062;22.05.2025 13:04:22;02;46254;82500;82500;3721;3721;0;-59;27;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919122;22.05.2025 13:05:22;02;46253;82500;82500;3721;3726;5;-58;28;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747919182;22.05.2025 13:06:22;02;46251;82500;82500;3721;3726;5;-58;29;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918160;22.05.2025 12:49:20;02;46270;82500;82500;3721;3726;5;-61;12;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918220;22.05.2025 12:50:20;02;46269;82500;82500;3721;3726;5;-61;13;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918280;22.05.2025 12:51:20;02;46268;82500;82500;3721;3726;5;-68;14;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918340;22.05.2025 12:52:20;02;46266;82500;82500;3721;3726;5;-62;15;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918400;22.05.2025 12:53:20;02;46265;82500;82500;3721;3726;5;-62;16;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918460;22.05.2025 12:54:20;02;46264;82500;82500;3721;3726;5;-89;17;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918521;22.05.2025 12:55:21;02;46263;82500;82500;3721;3726;5;-68;18;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918581;22.05.2025 12:56:21;02;46261;82500;82500;3721;3726;5;-58;19;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918641;22.05.2025 12:57:21;02;46261;82500;82500;3721;3726;5;-58;20;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917618;22.05.2025 12:40:18;02;46280;82500;82500;3721;3726;5;-86;2;23,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917679;22.05.2025 12:41:19;02;46279;82500;82500;3721;3726;5;-60;3;23,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917739;22.05.2025 12:42:19;02;46278;82500;82500;3721;3726;5;-68;4;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917799;22.05.2025 12:43:19;02;46276;82500;82500;3721;3726;5;-64;5;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917859;22.05.2025 12:44:19;02;46275;82500;82500;3721;3726;5;-66;6;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917919;22.05.2025 12:45:19;02;46274;82500;82500;3721;3726;5;-69;7;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917979;22.05.2025 12:46:19;02;46273;82500;82500;3721;3726;5;-69;8;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918039;22.05.2025 12:47:19;02;46271;82500;82500;3721;3726;5;-69;9;23,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747918099;22.05.2025 12:48:19;02;46270;82500;82500;3721;3726;5;-64;10;23,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917079;22.05.2025 12:31:19;02;46168;82500;82500;3721;3721;0;-63;54;23,1;00;00;00;00;00;0;0;0;00;04;00;55;0x0C;
1747917139;22.05.2025 12:32:19;02;46166;82500;82500;3721;3721;0;-63;56;23,1;00;00;00;00;00;0;0;0;00;04;00;55;0x0C;
1747917199;22.05.2025 12:33:19;02;46165;82500;82500;3721;3721;0;-63;57;23,1;00;00;00;00;00;0;0;0;00;04;00;55;0x0C;
1747917259;22.05.2025 12:34:19;02;46164;82500;82500;3721;3721;0;-63;58;23,1;00;00;00;00;00;0;0;0;00;04;00;55;0x0C;
1747917319;22.05.2025 12:35:19;02;46163;82500;82500;3721;3721;0;-63;59;23,1;00;00;00;00;00;0;0;0;00;04;00;55;0x0C;
1747917378;22.05.2025 12:36:18;02;46175;82500;82500;3941;3882;59;3713;59;23,1;00;00;00;00;01;0;0;0;02;05;00;55;0x0C;
1747917438;22.05.2025 12:37:18;02;46256;82500;82500;3980;3906;74;4908;59;23,8;00;00;00;00;01;0;0;0;02;05;00;56;0x0C;
1747917498;22.05.2025 12:38:18;02;46283;82500;82500;3721;3726;5;-58;0;24,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747917558;22.05.2025 12:39:18;02;46281;82500;82500;3721;3726;5;-57;1;23,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
