AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747726983;20.05.2025 07:43:03;02;26916;82500;82500;3589;3589;0;-64;28;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727043;20.05.2025 07:44:03;02;26915;82500;82500;3589;3589;0;-63;29;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727102;20.05.2025 07:45:02;02;26914;82500;82500;3589;3589;0;-63;30;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727162;20.05.2025 07:46:02;02;26914;82500;82500;3589;3584;5;-64;31;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727222;20.05.2025 07:47:02;02;26913;82500;82500;3589;3589;0;-64;32;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727282;20.05.2025 07:48:02;02;26911;82500;82500;3589;3589;0;-64;33;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727342;20.05.2025 07:49:02;02;26910;82500;82500;3589;3589;0;-65;34;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727402;20.05.2025 07:50:02;02;26909;82500;82500;3589;3589;0;-64;35;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727462;20.05.2025 07:51:02;02;26908;82500;82500;3589;3589;0;-65;36;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726443;20.05.2025 07:34:03;02;26926;82500;82500;3589;3589;0;-68;19;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726503;20.05.2025 07:35:03;02;26925;82500;82500;3589;3584;5;-94;20;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726563;20.05.2025 07:36:03;02;26924;82500;82500;3589;3589;0;-70;21;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726623;20.05.2025 07:37:03;02;26923;82500;82500;3589;3589;0;-68;22;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726683;20.05.2025 07:38:03;02;26921;82500;82500;3589;3589;0;-67;23;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726743;20.05.2025 07:39:03;02;26921;82500;82500;3589;3589;0;-66;24;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726803;20.05.2025 07:40:03;02;26920;82500;82500;3589;3589;0;-66;25;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726863;20.05.2025 07:41:03;02;26919;82500;82500;3589;3589;0;-65;26;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726923;20.05.2025 07:42:03;02;26918;82500;82500;3589;3589;0;-64;27;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725905;20.05.2025 07:25:05;02;26938;82500;82500;3589;3589;0;-72;10;22,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725965;20.05.2025 07:26:05;02;26936;82500;82500;3589;3589;0;-71;11;22,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726025;20.05.2025 07:27:05;02;26935;82500;82500;3589;3589;0;-73;12;22,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726085;20.05.2025 07:28:05;02;26934;82500;82500;3589;3589;0;-73;13;22,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726145;20.05.2025 07:29:05;02;26933;82500;82500;3589;3589;0;-68;14;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726204;20.05.2025 07:30:04;02;26931;82500;82500;3589;3589;0;-67;15;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726264;20.05.2025 07:31:04;02;26930;82500;82500;3589;3589;0;-76;16;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726323;20.05.2025 07:32:03;02;26929;82500;82500;3589;3589;0;-68;17;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726383;20.05.2025 07:33:03;02;26928;82500;82500;3589;3589;0;-68;18;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725366;20.05.2025 07:16:06;02;26948;82500;82500;3594;3589;5;-62;1;26,0;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725426;20.05.2025 07:17:06;02;26946;82500;82500;3589;3589;0;-62;2;25,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725486;20.05.2025 07:18:06;02;26945;82500;82500;3589;3589;0;-62;3;24,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725545;20.05.2025 07:19:05;02;26944;82500;82500;3589;3589;0;-68;4;24,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725605;20.05.2025 07:20:05;02;26944;82500;82500;3589;3589;0;-66;5;23,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725665;20.05.2025 07:21:05;02;26943;82500;82500;3589;3589;0;-66;6;23,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725725;20.05.2025 07:22:05;02;26941;82500;82500;3589;3589;0;-74;7;23,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725785;20.05.2025 07:23:05;02;26940;82500;82500;3589;3589;0;-73;8;23,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725845;20.05.2025 07:24:05;02;26939;82500;82500;3589;3589;0;-72;9;23,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747724833;20.05.2025 07:07:13;02;26308;82500;82500;3838;3765;73;4955;938;23,8;00;00;00;00;01;0;0;0;02;05;00;31;0x0C;
1747724892;20.05.2025 07:08:12;02;26389;82500;82500;3838;3765;73;4956;938;24,7;00;00;00;00;01;0;0;0;02;05;00;31;0x0C;
1747724951;20.05.2025 07:09:11;02;26471;82500;82500;3838;3770;68;4963;938;25,3;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725010;20.05.2025 07:10:10;02;26549;82500;82500;3838;3770;68;4962;938;25,8;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725069;20.05.2025 07:11:09;02;26631;82500;82500;3843;3770;73;4963;938;26,2;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725127;20.05.2025 07:12:07;02;26714;82500;82500;3843;3770;73;4964;938;26,6;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725186;20.05.2025 07:13:06;02;26791;82500;82500;3848;3770;78;4965;938;26,8;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725246;20.05.2025 07:14:06;02;26874;82500;82500;3848;3770;78;4965;938;27,1;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725306;20.05.2025 07:15:06;02;26949;82500;82500;3599;3589;10;-63;0;27,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
