AB ticks;AB time;Status, hex;Calibration, hex;Temperature HDC1080, C;Humidity HDC1080, %;Temperature DPS310, C;Pressure DPS310, kPa;Rotation code RAW;Azimuth RAW, deg.;Pitch RAW, deg.;Roll RAW, deg.;Azimuth, deg.;Pitch, deg.;Roll, deg.;CC0;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;CC15;CC16;CC17;XYZmagn0;XYZmagn1;XYZmagn2;XYZmagn3;XYZmagn4;XYZmagn5;XYZmagn6;XYZmagn7;XYZmagn8;XYZmagn9;XYZmagn10;XYZmagn11;XYZaxs0;XYZaxs1;XYZaxs2;XYZaxs3;XYZaxs4;XYZaxs5;XYZmagnOffs0;XYZmagnOffs1;XYZmagnOffs2;XYZmagnOffs3;XYZmagnOffs4;XYZmagnOffs5;XYZmagnOffs6;XYZmagnOffs7;XYZmagnOffs8;XYZmagnOffs9;XYZmagnOffs10;XYZmagnOffs11;XYZaxsOffs0;XYZaxsOffs1;XYZaxsOffs2;XYZaxsOffs3;XYZaxsOffs4;XYZaxsOffs5;FWver, hex
1747808316;21.05.2025 6:18;0;10;0;0;28,6;0;0;174;-0,4;0,1;174;-0,4;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;242;255;255;131;1;0;0;161;3;0;0;4;0;4;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808337;21.05.2025 6:18;0;10;0;0;28,6;0;0;174;-0,5;0,2;174;-0,5;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;242;255;255;128;1;0;0;152;3;0;0;5;0;4;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808357;21.05.2025 6:19;0;10;0;0;28,6;0;0;173;-0,5;0,2;173;-0,5;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;242;255;255;149;1;0;0;171;3;0;0;5;0;4;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808362;21.05.2025 6:19;0;10;0;0;28,6;0;0;171;-2,2;1,1;171;-2,2;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;240;255;255;161;2;0;0;67;3;0;0;10;0;246;255;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808373;21.05.2025 6:19;0;10;0;0;28,6;0;0;170;-1,1;-0,6;170;-1,1;-0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;240;255;255;151;2;0;0;216;2;0;0;10;0;249;255;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808393;21.05.2025 6:19;0;10;0;0;28,6;0;0;168;-0,3;0,1;168;-0,3;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;240;255;255;84;3;0;0;57;3;0;0;4;0;4;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808413;21.05.2025 6:20;0;10;0;0;28,6;0;0;157;-0,8;0,1;157;-0,8;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;242;255;255;235;5;0;0;56;2;0;0;5;0;2;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808433;21.05.2025 6:20;0;10;0;0;28,6;0;0;157;-0,8;0;157;-0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;242;255;255;235;5;0;0;56;2;0;0;5;0;2;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808453;21.05.2025 6:20;0;10;0;0;28,6;0;0;151;-0,3;0,4;151;-0,3;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;242;255;255;165;7;0;0;172;6;0;0;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808473;21.05.2025 6:21;0;10;0;0;28,6;0;0;151;-0,1;0,1;151;-0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;242;255;255;162;7;0;0;172;6;0;0;3;0;5;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808493;21.05.2025 6:21;0;10;0;0;28,6;0;0;151;-0,4;0,3;151;-0,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;242;255;255;159;7;0;0;174;6;0;0;3;0;5;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808513;21.05.2025 6:21;0;10;0;0;28,6;0;0;151;-0,1;0,1;151;-0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;242;255;255;160;7;0;0;171;6;0;0;2;0;2;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808533;21.05.2025 6:22;0;10;0;0;28,6;0;0;151;-0,2;0,3;151;-0,2;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;242;255;255;160;7;0;0;175;6;0;0;2;0;5;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808554;21.05.2025 6:22;0;10;0;0;28,6;0;0;151;-0,1;0,1;151;-0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;242;255;255;157;7;0;0;171;6;0;0;3;0;4;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808574;21.05.2025 6:22;0;10;0;0;28,6;0;0;151;-0,1;0,1;151;-0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;242;255;255;154;7;0;0;159;6;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808579;21.05.2025 6:22;0;10;0;0;28,6;0;0;151;-0,2;0,2;151;-0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;242;255;255;156;7;0;0;175;6;0;0;2;0;5;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808589;21.05.2025 6:23;0;20;0;0;28,6;0;0;151;-0,2;0,2;151;-0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;242;255;255;156;7;0;0;175;6;0;0;2;0;5;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808609;21.05.2025 6:23;0;20;0;0;28,6;0;0;151;-0,2;0,3;151;-0,2;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;242;255;255;158;7;0;0;176;6;0;0;0;0;254;255;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808629;21.05.2025 6:23;0;20;0;0;28,6;0;0;151;-0,2;0,2;151;-0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;242;255;255;157;7;0;0;179;6;0;0;3;0;4;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808650;21.05.2025 6:24;0;20;0;0;28,6;0;0;151;-0,2;0,1;151;-0,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;242;255;255;157;7;0;0;178;6;0;0;2;0;6;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
1747808670;21.05.2025 6:24;0;20;0;0;28,6;0;0;151;-0,1;0,3;151;-0,1;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;242;255;255;157;7;0;0;174;6;0;0;1;0;5;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0x09
