AB ticks;AB time;Temperature, C;Pressure, kPa;Humidity, %;
1747998517;23.05.2025 11:08:37;23,2;9,000;36,0;
1747998547;23.05.2025 11:09:07;23,2;9,000;36,0;
1747998577;23.05.2025 11:09:37;23,2;9,000;36,0;
1747998607;23.05.2025 11:10:07;23,2;9,000;36,5;
1747998637;23.05.2025 11:10:37;23,1;9,000;36,5;
1747998667;23.05.2025 11:11:07;23,1;9,000;36,5;
1747998697;23.05.2025 11:11:37;23,1;9,000;36,5;
1747998727;23.05.2025 11:12:07;23,0;9,000;36,5;
1747998757;23.05.2025 11:12:37;23,0;9,000;36,5;
1747998787;23.05.2025 11:13:07;23,0;9,000;36,5;
1747998817;23.05.2025 11:13:37;23,0;9,000;36,5;
1747998848;23.05.2025 11:14:08;23,0;9,000;36,5;
1747998878;23.05.2025 11:14:38;22,9;9,000;36,5;
1747998908;23.05.2025 11:15:08;22,9;9,000;36,5;
1747998938;23.05.2025 11:15:38;22,9;9,000;36,5;
1747998968;23.05.2025 11:16:08;22,9;9,000;37,0;
1747998998;23.05.2025 11:16:38;22,9;9,000;37,0;
1747999028;23.05.2025 11:17:08;22,9;9,000;37,0;
1747999058;23.05.2025 11:17:38;22,9;9,000;37,0;
1747999088;23.05.2025 11:18:08;22,8;9,000;37,0;
1747999118;23.05.2025 11:18:38;22,8;9,000;37,0;
1747999148;23.05.2025 11:19:08;22,8;9,000;37,0;
1747999178;23.05.2025 11:19:38;22,8;9,000;37,0;
1747999208;23.05.2025 11:20:08;22,8;9,000;37,0;
1747999238;23.05.2025 11:20:38;22,8;9,000;37,0;
1747999268;23.05.2025 11:21:08;22,8;9,000;37,0;
1747999299;23.05.2025 11:21:39;22,8;9,000;37,0;
1747999329;23.05.2025 11:22:09;22,8;9,000;37,0;
1747999359;23.05.2025 11:22:39;22,8;9,000;37,0;
1747999389;23.05.2025 11:23:09;22,7;9,000;37,0;
1747999419;23.05.2025 11:23:39;22,7;9,000;37,0;
1747999449;23.05.2025 11:24:09;22,7;9,000;37,0;
1747999479;23.05.2025 11:24:39;22,7;9,000;37,0;
1747999509;23.05.2025 11:25:09;22,7;9,000;37,0;
1747999539;23.05.2025 11:25:39;22,7;9,000;37,0;
1747999569;23.05.2025 11:26:09;22,7;9,000;37,0;
1747999599;23.05.2025 11:26:39;22,7;9,000;37,0;
1747999629;23.05.2025 11:27:09;22,7;9,000;37,0;
1747999659;23.05.2025 11:27:39;22,7;9,000;37,0;
1747999689;23.05.2025 11:28:09;22,7;9,000;37,0;
1747999719;23.05.2025 11:28:39;22,7;9,000;37,0;
1747999749;23.05.2025 11:29:09;22,7;9,000;37,0;
1747999780;23.05.2025 11:29:40;22,7;9,000;37,0;
1747999810;23.05.2025 11:30:10;22,7;9,000;37,0;
1747999840;23.05.2025 11:30:40;22,7;9,000;37,0;
1747999870;23.05.2025 11:31:10;22,7;9,000;37,0;
1747999900;23.05.2025 11:31:40;22,7;9,000;37,0;
1747999930;23.05.2025 11:32:10;22,7;9,000;37,0;
1747999960;23.05.2025 11:32:40;22,7;9,000;37,0;
1747999990;23.05.2025 11:33:10;22,7;9,000;37,0;
1747996890;23.05.2025 10:41:30;26,2;9,000;32,0;
1747996919;23.05.2025 10:41:59;26,2;9,000;32,0;
1747996949;23.05.2025 10:42:29;26,3;9,000;32,0;
1747996978;23.05.2025 10:42:58;26,4;9,000;32,0;
1747997008;23.05.2025 10:43:28;26,4;9,000;32,0;
1747997038;23.05.2025 10:43:58;26,5;9,000;31,5;
1747997067;23.05.2025 10:44:27;26,5;9,000;31,5;
1747997078;23.05.2025 10:44:38;26,6;9,000;31,5;
1747997107;23.05.2025 10:45:07;26,6;9,000;31,5;
1747997137;23.05.2025 10:45:37;26,6;9,000;31,5;
1747997167;23.05.2025 10:46:07;26,7;9,000;31,5;
1747997196;23.05.2025 10:46:36;26,7;9,000;31,5;
1747997226;23.05.2025 10:47:06;26,8;9,000;31,5;
1747997255;23.05.2025 10:47:35;26,8;9,000;31,5;
1747997285;23.05.2025 10:48:05;26,7;9,000;31,5;
1747997315;23.05.2025 10:48:35;26,5;9,000;31,5;
1747997345;23.05.2025 10:49:05;26,3;9,000;32,0;
1747997375;23.05.2025 10:49:35;26,1;9,000;32,0;
1747997405;23.05.2025 10:50:05;25,9;9,000;32,5;
1747997435;23.05.2025 10:50:35;25,7;9,000;32,5;
1747997465;23.05.2025 10:51:05;25,5;9,000;33,0;
1747997495;23.05.2025 10:51:35;25,3;9,000;33,0;
1747997525;23.05.2025 10:52:05;25,2;9,000;33,5;
1747997555;23.05.2025 10:52:35;25,0;9,000;33,5;
