AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747811133;21.05.2025 07:05:33;02;82455;82500;82500;4053;4058;5;-55;46;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810590;21.05.2025 06:56:30;02;82463;82500;82500;4053;4058;5;-58;37;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810651;21.05.2025 06:57:31;02;82463;82500;82500;4053;4058;5;-57;38;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810711;21.05.2025 06:58:31;02;82461;82500;82500;4053;4058;5;-56;39;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810771;21.05.2025 06:59:31;02;82460;82500;82500;4053;4058;5;-56;40;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810832;21.05.2025 07:00:32;02;82459;82500;82500;4053;4058;5;-56;41;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810891;21.05.2025 07:01:31;02;82459;82500;82500;4053;4058;5;-57;42;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747810952;21.05.2025 07:02:32;02;82458;82500;82500;4053;4058;5;-56;43;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747811013;21.05.2025 07:03:33;02;82456;82500;82500;4053;4058;5;-55;44;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
1747811073;21.05.2025 07:04:33;02;82455;82500;82500;4053;4058;5;-55;45;23,1;00;00;00;00;00;0;0;0;00;04;00;99;0x0C;
