AB ticks;AB time;Status, hex;Calibration, hex;Temperature HDC1080, C;Humidity HDC1080, %;Temperature DPS310, C;Pressure DPS310, kPa;Rotation code RAW;Azimuth RAW, deg.;Pitch RAW, deg.;Roll RAW, deg.;Azimuth, deg.;Pitch, deg.;Roll, deg.;CC0;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;CC15;CC16;CC17;XYZmagn0;XYZmagn1;XYZmagn2;XYZmagn3;XYZmagn4;XYZmagn5;XYZmagn6;XYZmagn7;XYZmagn8;XYZmagn9;XYZmagn10;XYZmagn11;XYZaxs0;XYZaxs1;XYZaxs2;XYZaxs3;XYZaxs4;XYZaxs5;XYZmagnOffs0;XYZmagnOffs1;XYZmagnOffs2;XYZmagnOffs3;XYZmagnOffs4;XYZmagnOffs5;XYZmagnOffs6;XYZmagnOffs7;XYZmagnOffs8;XYZmagnOffs9;XYZmagnOffs10;XYZmagnOffs11;XYZaxsOffs0;XYZaxsOffs1;XYZaxsOffs2;XYZaxsOffs3;XYZaxsOffs4;XYZaxsOffs5;FWver, hex
1747978330;23.05.2025 5:32;0;10;0;0;28,6;0;0;146;-0,9;0;146;-0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;244;255;255;161;7;0;0;250;5;0;0;4;0;255;255;8;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978350;23.05.2025 5:32;0;10;0;0;28,6;0;0;146;-0,9;-0,1;146;-0,9;-0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;244;255;255;161;7;0;0;247;5;0;0;4;0;255;255;7;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978370;23.05.2025 5:32;0;10;0;0;28,6;0;0;146;-1,2;0,1;146;-1,2;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;244;255;255;161;7;0;0;248;5;0;0;7;0;2;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978390;23.05.2025 5:33;0;10;0;0;28,6;0;0;146;-1;0;146;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;244;255;255;157;7;0;0;246;5;0;0;2;0;253;255;10;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978395;23.05.2025 5:33;0;10;0;0;28,6;0;0;147;-0,8;-0,1;147;-0,8;-0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;245;255;255;25;7;0;0;212;5;0;0;10;0;6;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978406;23.05.2025 5:33;0;10;0;0;28,6;0;0;147;-0,8;0;147;-0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;245;255;255;31;7;0;0;217;5;0;0;4;0;255;255;7;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978426;23.05.2025 5:33;0;10;0;0;28,6;0;0;147;-1,4;-0,1;147;-1,4;-0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;245;255;255;32;7;0;0;216;5;0;0;8;0;1;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978446;23.05.2025 5:34;0;10;0;0;28,6;0;0;150;-1,9;-0,4;150;-1,9;-0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;241;255;255;54;8;0;0;195;5;0;0;10;0;245;255;0;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978466;23.05.2025 5:34;0;10;0;0;28,6;0;0;140;-1,3;0,1;140;-1,3;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;243;255;255;199;10;0;0;128;5;0;0;7;0;3;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
1747978486;23.05.2025 5:34;0;10;0;0;28,6;0;0;140;-1,2;-0,1;140;-1,2;-0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;243;255;255;199;10;0;0;128;5;0;0;4;0;255;255;8;1;0;0;0;0;0;0;0;0;0;0;0;0;255;255;254;255;3;0;0x09
