AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747727012;20.05.2025 07:43:32;02;26973;82500;82500;3584;3574;10;-63;29;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727072;20.05.2025 07:44:32;02;26971;82500;82500;3584;3574;10;-64;30;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727132;20.05.2025 07:45:32;02;26970;82500;82500;3584;3574;10;-65;31;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727192;20.05.2025 07:46:32;02;26969;82500;82500;3584;3574;10;-66;32;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727252;20.05.2025 07:47:32;02;26968;82500;82500;3584;3574;10;-67;33;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727312;20.05.2025 07:48:32;02;26968;82500;82500;3584;3574;10;-64;34;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727372;20.05.2025 07:49:32;02;26966;82500;82500;3584;3574;10;-63;35;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747727432;20.05.2025 07:50:32;02;26965;82500;82500;3584;3574;10;-64;36;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726470;20.05.2025 07:34:30;02;26983;82500;82500;3584;3574;10;-66;20;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726531;20.05.2025 07:35:31;02;26981;82500;82500;3584;3574;10;-73;21;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726591;20.05.2025 07:36:31;02;26980;82500;82500;3584;3574;10;-64;22;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726651;20.05.2025 07:37:31;02;26979;82500;82500;3584;3574;10;-64;23;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726711;20.05.2025 07:38:31;02;26978;82500;82500;3584;3574;10;-65;24;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726771;20.05.2025 07:39:31;02;26976;82500;82500;3584;3574;10;-65;25;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726831;20.05.2025 07:40:31;02;26976;82500;82500;3584;3574;10;-66;26;22,5;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726891;20.05.2025 07:41:31;02;26975;82500;82500;3584;3574;10;-66;27;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726952;20.05.2025 07:42:32;02;26974;82500;82500;3584;3574;10;-63;28;22,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725929;20.05.2025 07:25:29;02;26994;82500;82500;3584;3574;10;-74;10;23,0;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725990;20.05.2025 07:26:30;02;26993;82500;82500;3584;3574;10;-73;11;22,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726050;20.05.2025 07:27:30;02;26991;82500;82500;3584;3574;10;-73;12;22,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726110;20.05.2025 07:28:30;02;26990;82500;82500;3584;3574;10;-67;13;22,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726170;20.05.2025 07:29:30;02;26989;82500;82500;3584;3574;10;-68;14;22,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726230;20.05.2025 07:30:30;02;26988;82500;82500;3579;3574;5;-96;15;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726290;20.05.2025 07:31:30;02;26986;82500;82500;3584;3574;10;-77;16;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726350;20.05.2025 07:32:30;02;26985;82500;82500;3584;3574;10;-68;17;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747726410;20.05.2025 07:33:30;02;26984;82500;82500;3584;3574;10;-68;18;22,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725389;20.05.2025 07:16:29;02;27004;82500;82500;3584;3579;5;-66;1;25,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725449;20.05.2025 07:17:29;02;27004;82500;82500;3584;3574;10;-66;2;24,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725509;20.05.2025 07:18:29;02;27003;82500;82500;3584;3579;5;-94;3;24,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725569;20.05.2025 07:19:29;02;27001;82500;82500;3584;3574;10;-66;4;24,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725629;20.05.2025 07:20:29;02;27000;82500;82500;3584;3574;10;-65;5;23,7;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725689;20.05.2025 07:21:29;02;26999;82500;82500;3579;3574;5;-97;6;23,6;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725749;20.05.2025 07:22:29;02;26998;82500;82500;3584;3574;10;-75;7;23,3;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725809;20.05.2025 07:23:29;02;26996;82500;82500;3584;3574;10;-74;8;23,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747725869;20.05.2025 07:24:29;02;26995;82500;82500;3584;3574;10;-74;9;23,1;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
1747724854;20.05.2025 07:07:34;02;26383;82500;82500;3838;3760;78;5083;8536;24,5;00;00;00;00;01;0;0;0;02;05;00;31;0x0C;
1747724913;20.05.2025 07:08:33;02;26461;82500;82500;3843;3760;83;5090;8536;25,2;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747724972;20.05.2025 07:09:32;02;26546;82500;82500;3843;3765;78;5090;8536;25,8;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725031;20.05.2025 07:10:31;02;26631;82500;82500;3848;3765;83;5089;8536;26,1;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725091;20.05.2025 07:11:31;02;26715;82500;82500;3848;3765;83;5089;8536;26,6;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725150;20.05.2025 07:12:30;02;26800;82500;82500;3848;3765;83;5090;8536;26,8;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725209;20.05.2025 07:13:29;02;26884;82500;82500;3848;3765;83;5091;8536;27,1;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725269;20.05.2025 07:14:29;02;26969;82500;82500;3848;3770;78;5093;8536;27,3;00;00;00;00;01;0;0;0;02;05;00;32;0x0C;
1747725329;20.05.2025 07:15:29;02;27005;82500;82500;3584;3579;5;-69;0;26,8;00;00;00;00;00;0;0;0;00;04;00;32;0x0C;
