AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747980547;23.05.2025 06:09:07;02;46390;82500;82500;3726;3731;5;-62;35;22,7;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980607;23.05.2025 06:10:07;02;46389;82500;82500;3726;3731;5;-63;36;22,7;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980668;23.05.2025 06:11:08;02;46389;82500;82500;3726;3731;5;-63;37;22,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980727;23.05.2025 06:12:07;02;46388;82500;82500;3726;3731;5;-63;38;22,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980788;23.05.2025 06:13:08;02;46386;82500;82500;3726;3731;5;-62;39;22,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980848;23.05.2025 06:14:08;02;46385;82500;82500;3726;3731;5;-62;40;22,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980007;23.05.2025 06:00:07;02;46401;82500;82500;3731;3731;0;-63;26;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980068;23.05.2025 06:01:08;02;46400;82500;82500;3726;3731;5;-93;27;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980128;23.05.2025 06:02:08;02;46399;82500;82500;3726;3731;5;-69;28;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980187;23.05.2025 06:03:07;02;46398;82500;82500;3731;3731;0;-65;29;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980247;23.05.2025 06:04:07;02;46396;82500;82500;3726;3731;5;-93;30;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980308;23.05.2025 06:05:08;02;46395;82500;82500;3726;3731;5;-68;31;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980367;23.05.2025 06:06:07;02;46394;82500;82500;3731;3731;0;-61;32;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980427;23.05.2025 06:07:07;02;46393;82500;82500;3726;3731;5;-62;33;22,7;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747980488;23.05.2025 06:08:08;02;46391;82500;82500;3726;3731;5;-62;34;22,7;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979469;23.05.2025 05:51:09;02;46410;82500;82500;3726;3731;5;-69;17;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979529;23.05.2025 05:52:09;02;46410;82500;82500;3731;3731;0;-69;18;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979589;23.05.2025 05:53:09;02;46409;82500;82500;3731;3731;0;-64;19;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979648;23.05.2025 05:54:08;02;46408;82500;82500;3726;3731;5;-65;20;23,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979709;23.05.2025 05:55:09;02;46406;82500;82500;3731;3731;0;-65;21;23,0;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979769;23.05.2025 05:56:09;02;46405;82500;82500;3731;3731;0;-65;22;23,0;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979828;23.05.2025 05:57:08;02;46404;82500;82500;3731;3731;0;-64;23;23,0;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979889;23.05.2025 05:58:09;02;46403;82500;82500;3726;3731;5;-63;24;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979949;23.05.2025 05:59:09;02;46401;82500;82500;3726;3731;5;-63;25;22,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978929;23.05.2025 05:42:09;02;46421;82500;82500;3731;3731;0;-93;8;23,7;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978989;23.05.2025 05:43:09;02;46420;82500;82500;3731;3731;0;-63;9;23,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979049;23.05.2025 05:44:09;02;46419;82500;82500;3731;3731;0;-64;10;23,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979109;23.05.2025 05:45:09;02;46418;82500;82500;3731;3731;0;-64;11;23,5;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979169;23.05.2025 05:46:09;02;46416;82500;82500;3731;3731;0;-68;12;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979229;23.05.2025 05:47:09;02;46415;82500;82500;3731;3731;0;-72;13;23,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979289;23.05.2025 05:48:09;02;46414;82500;82500;3731;3731;0;-71;14;23,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979349;23.05.2025 05:49:09;02;46413;82500;82500;3726;3731;5;-69;15;23,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747979409;23.05.2025 05:50:09;02;46411;82500;82500;3731;3731;0;-69;16;23,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978389;23.05.2025 05:33:09;02;46351;82500;82500;3975;3911;64;4645;1143;26,2;00;00;00;00;01;0;0;0;02;05;00;56;0x0C;
1747978449;23.05.2025 05:34:09;02;46428;82500;82500;3975;3911;64;4642;0;26,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978509;23.05.2025 05:35:09;02;46429;82500;82500;3731;3735;4;-62;1;25,6;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978569;23.05.2025 05:36:09;02;46428;82500;82500;3731;3735;4;-60;2;25,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978629;23.05.2025 05:37:09;02;46426;82500;82500;3731;3735;4;-60;3;24,7;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978689;23.05.2025 05:38:09;02;46425;82500;82500;3731;3735;4;-60;4;24,3;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978749;23.05.2025 05:39:09;02;46424;82500;82500;3731;3731;0;-61;5;24,2;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978809;23.05.2025 05:40:09;02;46424;82500;82500;3731;3735;4;-62;6;24,1;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
1747978869;23.05.2025 05:41:09;02;46423;82500;82500;3731;3731;0;-63;7;23,8;00;00;00;00;00;0;0;0;00;04;00;56;0x0C;
