AB ticks;AB time;Temperature, C;Pressure, kPa;Humidity, %;
1747918518;22.05.2025 12:55:18;23,0;4,300;37,0;
1747918548;22.05.2025 12:55:48;23,0;4,300;37,0;
1747918578;22.05.2025 12:56:18;22,9;4,300;37,0;
1747918608;22.05.2025 12:56:48;22,9;4,300;37,0;
1747918637;22.05.2025 12:57:17;22,9;4,300;37,0;
1747918667;22.05.2025 12:57:47;22,9;4,300;37,0;
1747918697;22.05.2025 12:58:17;22,8;4,300;37,5;
1747918727;22.05.2025 12:58:47;22,8;4,300;37,5;
1747918757;22.05.2025 12:59:17;22,8;4,300;37,5;
1747918787;22.05.2025 12:59:47;22,8;4,300;37,5;
1747918816;22.05.2025 13:00:16;22,8;4,300;37,5;
1747918846;22.05.2025 13:00:46;22,8;4,300;37,5;
1747918876;22.05.2025 13:01:16;22,7;4,300;37,5;
1747918906;22.05.2025 13:01:46;22,7;4,300;37,5;
1747918936;22.05.2025 13:02:16;22,7;4,300;37,5;
1747918966;22.05.2025 13:02:46;22,7;4,300;37,5;
1747918995;22.05.2025 13:03:15;22,7;4,300;37,5;
1747919025;22.05.2025 13:03:45;22,7;4,300;37,5;
1747919055;22.05.2025 13:04:15;22,7;4,300;37,5;
1747919085;22.05.2025 13:04:45;22,6;4,300;37,5;
1747919115;22.05.2025 13:05:15;22,6;4,300;37,5;
1747919144;22.05.2025 13:05:44;22,6;4,300;37,5;
1747919174;22.05.2025 13:06:14;22,6;4,300;37,5;
1747919204;22.05.2025 13:06:44;22,6;4,300;37,5;
1747919234;22.05.2025 13:07:14;22,6;4,300;37,5;
1747919264;22.05.2025 13:07:44;22,6;4,300;37,5;
1747919294;22.05.2025 13:08:14;22,6;4,300;37,5;
1747919324;22.05.2025 13:08:44;22,6;4,300;38,0;
1747919353;22.05.2025 13:09:13;22,5;4,300;38,0;
1747919383;22.05.2025 13:09:43;22,5;4,300;38,0;
1747919413;22.05.2025 13:10:13;22,5;4,300;38,0;
1747919443;22.05.2025 13:10:43;22,5;4,300;38,0;
1747919473;22.05.2025 13:11:13;22,5;4,300;38,0;
1747916903;22.05.2025 12:28:23;22,8;4,300;37,5;
1747916932;22.05.2025 12:28:52;22,8;4,300;37,5;
1747916962;22.05.2025 12:29:22;22,8;4,300;37,5;
1747916992;22.05.2025 12:29:52;22,8;4,300;37,5;
1747917022;22.05.2025 12:30:22;22,8;4,300;37,5;
1747917052;22.05.2025 12:30:52;22,8;4,300;37,5;
1747917082;22.05.2025 12:31:22;22,8;4,300;37,5;
1747917111;22.05.2025 12:31:51;22,8;4,300;37,5;
1747917141;22.05.2025 12:32:21;22,8;4,300;37,5;
1747917171;22.05.2025 12:32:51;22,8;4,300;37,5;
1747917201;22.05.2025 12:33:21;22,8;4,300;37,5;
1747917231;22.05.2025 12:33:51;22,8;4,300;37,5;
1747917261;22.05.2025 12:34:21;22,8;4,300;37,5;
1747917290;22.05.2025 12:34:50;22,8;4,300;37,5;
1747917320;22.05.2025 12:35:20;22,9;4,300;37,5;
1747917349;22.05.2025 12:35:49;23,0;4,300;37,0;
1747917379;22.05.2025 12:36:19;23,3;4,300;37,0;
1747917385;22.05.2025 12:36:25;23,3;4,300;37,0;
1747917415;22.05.2025 12:36:55;23,5;4,300;36,5;
1747917445;22.05.2025 12:37:25;23,6;4,300;36,5;
1747917475;22.05.2025 12:37:55;23,6;4,300;36,5;
1747917504;22.05.2025 12:38:24;23,6;4,300;36,5;
1747917534;22.05.2025 12:38:54;23,6;4,300;36,5;
1747917564;22.05.2025 12:39:24;23,6;4,300;36,5;
1747917594;22.05.2025 12:39:54;23,6;4,300;36,5;
1747917623;22.05.2025 12:40:23;23,5;4,300;36,5;
1747917653;22.05.2025 12:40:53;23,5;4,300;36,5;
1747917683;22.05.2025 12:41:23;23,5;4,300;36,5;
1747917713;22.05.2025 12:41:53;23,5;4,300;36,5;
1747917743;22.05.2025 12:42:23;23,4;4,300;36,5;
1747917773;22.05.2025 12:42:53;23,4;4,300;36,5;
1747917802;22.05.2025 12:43:22;23,4;4,300;36,5;
1747917832;22.05.2025 12:43:52;23,4;4,300;36,5;
1747917862;22.05.2025 12:44:22;23,4;4,300;36,5;
1747917892;22.05.2025 12:44:52;23,4;4,300;36,5;
1747917922;22.05.2025 12:45:22;23,3;4,300;36,5;
1747917951;22.05.2025 12:45:51;23,3;4,300;36,5;
1747917981;22.05.2025 12:46:21;23,3;4,300;36,5;
1747918011;22.05.2025 12:46:51;23,3;4,300;36,5;
1747918041;22.05.2025 12:47:21;23,3;4,300;36,5;
1747918071;22.05.2025 12:47:51;23,3;4,300;36,5;
1747918100;22.05.2025 12:48:20;23,2;4,300;36,5;
1747918130;22.05.2025 12:48:50;23,2;4,300;36,5;
1747918160;22.05.2025 12:49:20;23,2;4,300;36,5;
1747918190;22.05.2025 12:49:50;23,2;4,300;37,0;
1747918220;22.05.2025 12:50:20;23,2;4,300;37,0;
1747918250;22.05.2025 12:50:50;23,1;4,300;37,0;
1747918279;22.05.2025 12:51:19;23,1;4,300;37,0;
1747918309;22.05.2025 12:51:49;23,1;4,300;37,0;
1747918339;22.05.2025 12:52:19;23,1;4,300;37,0;
1747918369;22.05.2025 12:52:49;23,1;4,300;37,0;
1747918399;22.05.2025 12:53:19;23,0;4,300;37,0;
1747918429;22.05.2025 12:53:49;23,1;4,300;37,0;
1747918458;22.05.2025 12:54:18;23,0;4,300;37,0;
1747918488;22.05.2025 12:54:48;23,0;4,300;37,0;
