AB ticks;AB time;Status, hex;Calibration, hex;Temperature HDC1080, C;Humidity HDC1080, %;Temperature DPS310, C;Pressure DPS310, kPa;Rotation code RAW;Azimuth RAW, deg.;Pitch RAW, deg.;Roll RAW, deg.;Azimuth, deg.;Pitch, deg.;Roll, deg.;CC0;CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10;CC11;CC12;CC13;CC14;CC15;CC16;CC17;XYZmagn0;XYZmagn1;XYZmagn2;XYZmagn3;XYZmagn4;XYZmagn5;XYZmagn6;XYZmagn7;XYZmagn8;XYZmagn9;XYZmagn10;XYZmagn11;XYZaxs0;XYZaxs1;XYZaxs2;XYZaxs3;XYZaxs4;XYZaxs5;XYZmagnOffs0;XYZmagnOffs1;XYZmagnOffs2;XYZmagnOffs3;XYZmagnOffs4;XYZmagnOffs5;XYZmagnOffs6;XYZmagnOffs7;XYZmagnOffs8;XYZmagnOffs9;XYZmagnOffs10;XYZmagnOffs11;XYZaxsOffs0;XYZaxsOffs1;XYZaxsOffs2;XYZaxsOffs3;XYZaxsOffs4;XYZaxsOffs5;FWver, hex
1747112867;13.05.2025 5:07;0;10;0;0;28,6;0;0;199;-0,7;0,9;199;-0,7;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;243;255;255;204;251;255;255;238;2;0;0;4;0;5;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112873;13.05.2025 5:07;0;10;0;0;28,6;0;0;191;-1,9;0,7;191;-1,9;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;242;255;255;89;253;255;255;0;3;0;0;12;0;1;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112883;13.05.2025 5:08;0;10;0;0;28,6;0;0;187;-2,4;0,3;187;-2,4;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;240;255;255;12;254;255;255;195;2;0;0;5;0;248;255;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112903;13.05.2025 5:08;0;10;0;0;28,6;0;0;180;-0,7;1,1;180;-0,7;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;243;255;255;36;0;0;0;240;2;0;0;3;0;6;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112923;13.05.2025 5:08;0;10;0;0;28,6;0;0;180;-0,6;0,9;180;-0,6;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;243;255;255;38;0;0;0;245;2;0;0;3;0;5;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112943;13.05.2025 5:09;0;10;0;0;28,6;0;0;179;-0,5;0,7;179;-0,5;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;243;255;255;46;0;0;0;241;2;0;0;3;0;6;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112963;13.05.2025 5:09;0;10;0;0;28,6;0;0;180;-0,4;1,2;180;-0,4;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;243;255;255;41;0;0;0;241;2;0;0;3;0;6;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747112983;13.05.2025 5:09;0;10;0;0;28,6;0;0;174;-0,6;0,8;174;-0,6;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;244;255;255;60;1;0;0;215;1;0;0;3;0;5;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747113003;13.05.2025 5:10;0;10;0;0;28,6;0;0;184;-12,9;36,4;184;-12,9;36,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;243;255;255;230;1;0;0;63;7;0;0;48;0;134;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747113023;13.05.2025 5:10;0;10;0;0;28,6;0;0;149;-1,1;0,5;149;-1,1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;243;255;255;165;7;0;0;216;5;0;0;3;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747113043;13.05.2025 5:10;0;10;0;0;28,6;0;0;149;-1,1;0,8;149;-1,1;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;243;255;255;164;7;0;0;218;5;0;0;7;0;4;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747113064;13.05.2025 5:11;0;10;0;0;28,6;0;0;149;-1,3;0,7;149;-1,3;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;243;255;255;165;7;0;0;218;5;0;0;3;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
1747113084;13.05.2025 5:11;0;10;0;0;28,6;0;0;149;-1,4;0,7;149;-1,4;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;243;255;255;162;7;0;0;197;5;0;0;8;0;4;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;255;3;0;0x09
