AB ticks;AB time;Temperature, C;Pressure, kPa;Humidity, %;
1747918551;22.05.2025 12:55:51;22,8;4,000;38,5;
1747918581;22.05.2025 12:56:21;22,8;4,000;38,5;
1747918611;22.05.2025 12:56:51;22,7;4,000;38,5;
1747918641;22.05.2025 12:57:21;22,7;4,000;38,5;
1747918671;22.05.2025 12:57:51;22,7;4,000;38,5;
1747918701;22.05.2025 12:58:21;22,7;4,000;38,5;
1747918730;22.05.2025 12:58:50;22,6;4,000;38,5;
1747918760;22.05.2025 12:59:20;22,6;4,000;39,0;
1747918790;22.05.2025 12:59:50;22,6;4,000;39,0;
1747918820;22.05.2025 13:00:20;22,6;4,000;39,0;
1747918850;22.05.2025 13:00:50;22,6;4,000;39,0;
1747918880;22.05.2025 13:01:20;22,6;4,000;39,0;
1747918910;22.05.2025 13:01:50;22,5;4,000;39,0;
1747918940;22.05.2025 13:02:20;22,5;4,000;39,0;
1747918970;22.05.2025 13:02:50;22,5;4,000;39,0;
1747919000;22.05.2025 13:03:20;22,5;4,000;39,0;
1747919030;22.05.2025 13:03:50;22,5;4,000;39,0;
1747919060;22.05.2025 13:04:20;22,5;4,000;39,0;
1747919089;22.05.2025 13:04:49;22,5;4,000;39,0;
1747919119;22.05.2025 13:05:19;22,5;4,000;39,0;
1747919149;22.05.2025 13:05:49;22,5;4,000;39,0;
1747919179;22.05.2025 13:06:19;22,4;4,000;39,0;
1747919209;22.05.2025 13:06:49;22,4;4,000;39,0;
1747919239;22.05.2025 13:07:19;22,4;4,000;39,0;
1747919269;22.05.2025 13:07:49;22,4;4,000;39,0;
1747919299;22.05.2025 13:08:19;22,4;4,000;39,0;
1747919329;22.05.2025 13:08:49;22,4;4,000;39,0;
1747919359;22.05.2025 13:09:19;22,4;4,000;39,0;
1747919389;22.05.2025 13:09:49;22,4;4,000;39,0;
1747919419;22.05.2025 13:10:19;22,4;4,000;39,0;
1747919448;22.05.2025 13:10:48;22,4;4,000;39,0;
1747916922;22.05.2025 12:28:42;22,6;3,900;38,5;
1747916952;22.05.2025 12:29:12;22,6;3,900;38,5;
1747916982;22.05.2025 12:29:42;22,6;3,900;38,5;
1747917012;22.05.2025 12:30:12;22,6;4,000;38,5;
1747917042;22.05.2025 12:30:42;22,6;3,900;38,5;
1747917072;22.05.2025 12:31:12;22,6;4,000;38,5;
1747917102;22.05.2025 12:31:42;22,6;4,000;38,5;
1747917132;22.05.2025 12:32:12;22,6;4,000;38,5;
1747917162;22.05.2025 12:32:42;22,6;4,000;38,5;
1747917192;22.05.2025 12:33:12;22,6;4,000;38,5;
1747917221;22.05.2025 12:33:41;22,6;4,000;38,5;
1747917251;22.05.2025 12:34:11;22,6;4,000;38,5;
1747917281;22.05.2025 12:34:41;22,6;4,000;38,5;
1747917311;22.05.2025 12:35:11;22,6;4,000;38,5;
1747917341;22.05.2025 12:35:41;22,7;4,000;38,5;
1747917370;22.05.2025 12:36:10;22,9;4,000;38,0;
1747917385;22.05.2025 12:36:25;23,0;4,000;38,0;
1747917415;22.05.2025 12:36:55;23,2;4,000;37,5;
1747917445;22.05.2025 12:37:25;23,3;4,000;37,5;
1747917474;22.05.2025 12:37:54;23,3;4,000;37,5;
1747917504;22.05.2025 12:38:24;23,3;4,000;37,5;
1747917534;22.05.2025 12:38:54;23,3;4,000;37,5;
1747917564;22.05.2025 12:39:24;23,3;4,000;37,5;
1747917594;22.05.2025 12:39:54;23,2;4,000;37,5;
1747917624;22.05.2025 12:40:24;23,2;4,000;37,5;
1747917654;22.05.2025 12:40:54;23,2;4,000;38,0;
1747917684;22.05.2025 12:41:24;23,2;4,000;38,0;
1747917713;22.05.2025 12:41:53;23,2;4,000;38,0;
1747917743;22.05.2025 12:42:23;23,2;4,000;38,0;
1747917773;22.05.2025 12:42:53;23,1;4,000;38,0;
1747917803;22.05.2025 12:43:23;23,1;4,000;38,0;
1747917833;22.05.2025 12:43:53;23,1;4,000;38,0;
1747917863;22.05.2025 12:44:23;23,1;4,000;38,0;
1747917893;22.05.2025 12:44:53;23,1;4,000;38,0;
1747917923;22.05.2025 12:45:23;23,1;4,000;38,0;
1747917953;22.05.2025 12:45:53;23,1;4,000;38,0;
1747917983;22.05.2025 12:46:23;23,1;4,000;38,0;
1747918013;22.05.2025 12:46:53;23,1;4,000;38,0;
1747918042;22.05.2025 12:47:22;23,1;4,000;38,0;
1747918072;22.05.2025 12:47:52;23,0;4,000;38,0;
1747918102;22.05.2025 12:48:22;23,0;4,000;38,0;
1747918132;22.05.2025 12:48:52;23,0;4,000;38,0;
1747918162;22.05.2025 12:49:22;23,0;4,000;38,0;
1747918192;22.05.2025 12:49:52;23,0;4,000;38,0;
1747918222;22.05.2025 12:50:22;23,0;4,000;38,0;
1747918252;22.05.2025 12:50:52;22,9;4,000;38,0;
1747918282;22.05.2025 12:51:22;22,9;4,000;38,0;
1747918312;22.05.2025 12:51:52;22,9;4,000;38,5;
1747918342;22.05.2025 12:52:22;22,9;4,000;38,5;
1747918372;22.05.2025 12:52:52;22,9;4,000;38,5;
1747918402;22.05.2025 12:53:22;22,9;4,000;38,5;
1747918431;22.05.2025 12:53:51;22,9;4,000;38,5;
1747918461;22.05.2025 12:54:21;22,8;4,000;38,5;
1747918491;22.05.2025 12:54:51;22,8;4,000;38,5;
1747918521;22.05.2025 12:55:21;22,8;4,000;38,5;
