AB ticks;AB time;Temperature, C;Pressure, kPa;Humidity, %;
1746623306;07.05.2025 13:08:26;20,9;3,500;25,5;
1746623336;07.05.2025 13:08:56;20,9;3,500;25,5;
1746623367;07.05.2025 13:09:27;20,9;3,500;25,5;
1746623397;07.05.2025 13:09:57;20,8;3,500;25,5;
1746623427;07.05.2025 13:10:27;20,8;3,500;25,5;
1746623457;07.05.2025 13:10:57;20,8;3,500;25,5;
1746623487;07.05.2025 13:11:27;20,8;3,500;25,5;
1746623517;07.05.2025 13:11:57;20,8;3,500;25,5;
1746623547;07.05.2025 13:12:27;20,8;3,500;25,5;
1746623578;07.05.2025 13:12:58;20,8;3,500;25,5;
1746623608;07.05.2025 13:13:28;20,8;3,500;25,5;
1746623638;07.05.2025 13:13:58;20,8;3,500;25,5;
1746623668;07.05.2025 13:14:28;20,8;3,500;25,5;
1746623698;07.05.2025 13:14:58;20,8;3,500;25,5;
1746623728;07.05.2025 13:15:28;20,8;3,500;25,5;
1746623758;07.05.2025 13:15:58;20,8;3,500;25,5;
1746623788;07.05.2025 13:16:28;20,7;3,500;25,5;
1746621649;07.05.2025 12:40:49;21,4;3,500;25,0;
1746621680;07.05.2025 12:41:20;21,4;3,500;25,0;
1746621710;07.05.2025 12:41:50;21,4;3,500;25,0;
1746621740;07.05.2025 12:42:20;21,4;3,500;25,0;
1746621770;07.05.2025 12:42:50;21,4;3,500;25,0;
1746621800;07.05.2025 12:43:20;21,4;3,500;25,0;
1746621830;07.05.2025 12:43:50;21,3;3,500;25,0;
1746621860;07.05.2025 12:44:20;21,3;3,500;25,0;
1746621890;07.05.2025 12:44:50;21,3;3,500;25,0;
1746621920;07.05.2025 12:45:20;21,3;3,500;25,0;
1746621951;07.05.2025 12:45:51;21,3;3,500;25,0;
1746621981;07.05.2025 12:46:21;21,3;3,500;25,0;
1746622011;07.05.2025 12:46:51;21,3;3,500;25,0;
1746622041;07.05.2025 12:47:21;21,3;3,500;25,0;
1746622071;07.05.2025 12:47:51;21,2;3,500;25,0;
1746622101;07.05.2025 12:48:21;21,2;3,500;25,0;
1746622131;07.05.2025 12:48:51;21,2;3,500;25,0;
1746622162;07.05.2025 12:49:22;21,2;3,500;25,0;
1746622192;07.05.2025 12:49:52;21,2;3,500;25,0;
1746622222;07.05.2025 12:50:22;21,2;3,500;25,0;
1746622252;07.05.2025 12:50:52;21,2;3,500;25,0;
1746622282;07.05.2025 12:51:22;21,2;3,500;25,0;
1746622312;07.05.2025 12:51:52;21,2;3,500;25,0;
