AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747988259;23.05.2025 08:17:39;02;28845;82500;82500;3609;3604;5;-66;30;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747988319;23.05.2025 08:18:39;02;28844;82500;82500;3609;3604;5;-67;31;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747988379;23.05.2025 08:19:39;02;28843;82500;82500;3609;3599;10;-65;32;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747988439;23.05.2025 08:20:39;02;28841;82500;82500;3609;3604;5;-66;33;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747988500;23.05.2025 08:21:40;02;28840;82500;82500;3609;3599;10;-66;34;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747988559;23.05.2025 08:22:39;02;28840;82500;82500;3609;3599;10;-66;35;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747988619;23.05.2025 08:23:39;02;28839;82500;82500;3609;3604;5;-66;36;22,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747987718;23.05.2025 08:08:38;02;28855;82500;82500;3609;3604;5;-63;21;23,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747987778;23.05.2025 08:09:38;02;28854;82500;82500;3609;3604;5;-63;22;23,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747987838;23.05.2025 08:10:38;02;28853;82500;82500;3609;3604;5;-64;23;23,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747987898;23.05.2025 08:11:38;02;28851;82500;82500;3609;3604;5;-65;24;23,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
