AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747746178;20.05.2025 13:02:58;02;28558;82500;82500;3609;3599;10;-61;51;23,5;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747746238;20.05.2025 13:03:58;02;28556;82500;82500;3604;3599;5;-60;52;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747746298;20.05.2025 13:04:58;02;28555;82500;82500;3609;3599;10;-61;53;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745639;20.05.2025 12:53:59;02;28566;82500;82500;3604;3599;5;-65;41;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745699;20.05.2025 12:54:59;02;28565;82500;82500;3609;3599;10;-63;42;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745759;20.05.2025 12:55:59;02;28564;82500;82500;3609;3599;10;-61;43;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745819;20.05.2025 12:56:59;02;28564;82500;82500;3609;3599;10;-61;44;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745879;20.05.2025 12:57:59;02;28563;82500;82500;3609;3599;10;-61;45;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745939;20.05.2025 12:58:59;02;28561;82500;82500;3609;3599;10;-61;47;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745998;20.05.2025 12:59:58;02;28560;82500;82500;3609;3599;10;-61;48;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747746058;20.05.2025 13:00:58;02;28559;82500;82500;3609;3599;10;-62;49;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747746118;20.05.2025 13:01:58;02;28558;82500;82500;3604;3599;5;-62;50;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745099;20.05.2025 12:44:59;02;28576;82500;82500;3609;3599;10;-63;32;23,7;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745159;20.05.2025 12:45:59;02;28575;82500;82500;3609;3599;10;-63;33;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745219;20.05.2025 12:46:59;02;28574;82500;82500;3604;3599;5;-67;34;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745279;20.05.2025 12:47:59;02;28573;82500;82500;3609;3599;10;-65;35;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745339;20.05.2025 12:48:59;02;28571;82500;82500;3609;3599;10;-64;36;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745398;20.05.2025 12:49:58;02;28570;82500;82500;3609;3599;10;-62;37;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745459;20.05.2025 12:50:59;02;28570;82500;82500;3609;3599;10;-61;38;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745519;20.05.2025 12:51:59;02;28569;82500;82500;3609;3599;10;-61;39;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745579;20.05.2025 12:52:59;02;28568;82500;82500;3609;3599;10;-66;40;23,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744561;20.05.2025 12:36:01;02;28585;82500;82500;3609;3599;10;-64;23;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744621;20.05.2025 12:37:01;02;28585;82500;82500;3609;3599;10;-65;24;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744681;20.05.2025 12:38:01;02;28584;82500;82500;3604;3599;5;-95;25;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744740;20.05.2025 12:39:00;02;28583;82500;82500;3609;3599;10;-71;26;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744800;20.05.2025 12:40:00;02;28581;82500;82500;3609;3599;10;-65;27;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744859;20.05.2025 12:40:59;02;28580;82500;82500;3609;3599;10;-65;28;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744919;20.05.2025 12:41:59;02;28579;82500;82500;3609;3599;10;-64;29;23,7;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744979;20.05.2025 12:42:59;02;28578;82500;82500;3609;3599;10;-64;30;23,7;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747745039;20.05.2025 12:43:59;02;28576;82500;82500;3609;3599;10;-64;31;23,7;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744021;20.05.2025 12:27:01;02;28595;82500;82500;3604;3599;5;-69;14;24,2;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744081;20.05.2025 12:28:01;02;28595;82500;82500;3609;3599;10;-62;15;24,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744141;20.05.2025 12:29:01;02;28594;82500;82500;3609;3599;10;-63;16;24,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744201;20.05.2025 12:30:01;02;28593;82500;82500;3609;3599;10;-64;17;24,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744261;20.05.2025 12:31:01;02;28591;82500;82500;3609;3599;10;-65;18;24,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744321;20.05.2025 12:32:01;02;28590;82500;82500;3609;3599;10;-65;19;24,0;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744381;20.05.2025 12:33:01;02;28589;82500;82500;3609;3599;10;-74;20;24,0;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744441;20.05.2025 12:34:01;02;28588;82500;82500;3609;3599;10;-63;21;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747744501;20.05.2025 12:35:01;02;28586;82500;82500;3609;3599;10;-63;22;23,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743483;20.05.2025 12:18:03;02;28606;82500;82500;3609;3604;5;-64;5;25,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743543;20.05.2025 12:19:03;02;28605;82500;82500;3609;3599;10;-64;6;25,2;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743602;20.05.2025 12:20:02;02;28604;82500;82500;3609;3599;10;-64;7;25,0;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743662;20.05.2025 12:21:02;02;28603;82500;82500;3609;3599;10;-76;8;24,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743722;20.05.2025 12:22:02;02;28601;82500;82500;3609;3599;10;-69;9;24,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743782;20.05.2025 12:23:02;02;28600;82500;82500;3609;3599;10;-71;10;24,6;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743842;20.05.2025 12:24:02;02;28599;82500;82500;3609;3599;10;-72;11;24,3;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743902;20.05.2025 12:25:02;02;28598;82500;82500;3609;3599;10;-72;12;24,3;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743962;20.05.2025 12:26:02;02;28596;82500;82500;3609;3599;10;-71;13;24,3;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747742947;20.05.2025 12:09:07;02;28288;82500;82500;3862;3784;78;4990;1266;29,2;00;00;00;00;01;0;0;0;02;05;00;34;0x0C;
1747743006;20.05.2025 12:10:06;02;28370;82500;82500;3862;3784;78;4989;1266;29,2;00;00;00;00;01;0;0;0;02;05;00;34;0x0C;
1747743065;20.05.2025 12:11:05;02;28453;82500;82500;3867;3784;83;4989;1266;29,3;00;00;00;00;01;0;0;0;02;05;00;34;0x0C;
1747743124;20.05.2025 12:12:04;02;28536;82500;82500;3867;3789;78;4997;1266;29,5;00;00;00;00;01;0;0;0;02;05;00;34;0x0C;
1747743184;20.05.2025 12:13:04;02;28611;82500;82500;3613;3604;9;2527;0;29,5;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743243;20.05.2025 12:14:03;02;28610;82500;82500;3613;3604;9;-63;1;28,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743303;20.05.2025 12:15:03;02;28610;82500;82500;3609;3604;5;-61;2;27,1;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743363;20.05.2025 12:16:03;02;28609;82500;82500;3609;3604;5;-61;3;26,3;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
1747743423;20.05.2025 12:17:03;02;28608;82500;82500;3609;3604;5;-64;4;25,8;00;00;00;00;00;0;0;0;00;04;00;34;0x0C;
