AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747988610;23.05.2025 08:23:30;02;27688;82500;82500;3599;3599;0;-65;36;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988068;23.05.2025 08:14:28;02;27698;82500;82500;3599;3599;0;-65;26;23,0;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988128;23.05.2025 08:15:28;02;27696;82500;82500;3599;3599;0;-65;28;23,0;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988188;23.05.2025 08:16:28;02;27695;82500;82500;3599;3599;0;-65;29;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988248;23.05.2025 08:17:28;02;27694;82500;82500;3599;3599;0;-65;30;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988309;23.05.2025 08:18:29;02;27693;82500;82500;3599;3599;0;-65;31;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988369;23.05.2025 08:19:29;02;27691;82500;82500;3599;3599;0;-65;32;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988429;23.05.2025 08:20:29;02;27690;82500;82500;3599;3599;0;-67;33;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988489;23.05.2025 08:21:29;02;27690;82500;82500;3599;3599;0;-66;34;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988550;23.05.2025 08:22:30;02;27689;82500;82500;3599;3599;0;-66;35;22,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987525;23.05.2025 08:05:25;02;27708;82500;82500;3599;3599;0;-78;17;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987586;23.05.2025 08:06:26;02;27706;82500;82500;3599;3599;0;-65;18;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987646;23.05.2025 08:07:26;02;27705;82500;82500;3599;3599;0;-65;19;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987706;23.05.2025 08:08:26;02;27704;82500;82500;3599;3599;0;-65;20;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987766;23.05.2025 08:09:26;02;27703;82500;82500;3599;3599;0;-65;21;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987826;23.05.2025 08:10:26;02;27701;82500;82500;3599;3599;0;-66;22;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987887;23.05.2025 08:11:27;02;27701;82500;82500;3599;3599;0;-66;23;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987947;23.05.2025 08:12:27;02;27700;82500;82500;3594;3599;5;-67;24;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747988007;23.05.2025 08:13:27;02;27699;82500;82500;3599;3599;0;-67;25;23,0;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986983;23.05.2025 07:56:23;02;27719;82500;82500;3599;3599;0;-76;8;23,6;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987043;23.05.2025 07:57:23;02;27718;82500;82500;3599;3599;0;-75;9;23,6;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987104;23.05.2025 07:58:24;02;27716;82500;82500;3599;3599;0;-74;10;23,5;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987164;23.05.2025 07:59:24;02;27715;82500;82500;3599;3599;0;-73;11;23,3;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987224;23.05.2025 08:00:24;02;27714;82500;82500;3599;3599;0;-67;12;23,3;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987284;23.05.2025 08:01:24;02;27713;82500;82500;3599;3599;0;-68;13;23,3;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987345;23.05.2025 08:02:25;02;27711;82500;82500;3599;3599;0;-75;14;23,3;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987405;23.05.2025 08:03:25;02;27710;82500;82500;3599;3599;0;-70;15;23,2;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747987465;23.05.2025 08:04:25;02;27709;82500;82500;3599;3599;0;-97;16;23,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986441;23.05.2025 07:47:21;02;27668;82500;82500;3862;3784;78;4990;1537;26,1;00;00;00;00;01;0;0;0;02;05;00;33;0x0C;
1747986501;23.05.2025 07:48:21;02;27729;82500;82500;3599;3604;5;-69;0;26,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986562;23.05.2025 07:49:22;02;27728;82500;82500;3599;3604;5;-66;1;25,6;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986622;23.05.2025 07:50:22;02;27726;82500;82500;3599;3599;0;-97;2;25,0;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986682;23.05.2025 07:51:22;02;27725;82500;82500;3599;3599;0;-66;3;24,6;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986742;23.05.2025 07:52:22;02;27724;82500;82500;3599;3599;0;-67;4;24,3;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986802;23.05.2025 07:53:22;02;27723;82500;82500;3594;3599;5;-98;5;24,1;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986863;23.05.2025 07:54:23;02;27721;82500;82500;3599;3599;0;-74;6;23,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
1747986923;23.05.2025 07:55:23;02;27720;82500;82500;3594;3599;5;-76;7;23,8;00;00;00;00;00;0;0;0;00;04;00;33;0x0C;
