AB ticks;AB time;Charging allowed, hex;Residual capacity, mAh;Real capacity, mAh;Nominal capacity, mAh;Upper cell voltage, mV;	Lower cell voltage, mV;Cells voltage difference, mV;Battery current, mA;Time from last charge, min;Temperature, C;DS2777 break state, hex;	DS2777 link state, hex;DS2777 control state, hex;Charging complete, hex;Feedback state, hex;Charging cycles;	Last charged upper voltage, mV;Last charged lower voltage, mV;CU link state, hex;	Battery state, hex;Hardware errors, hex;Charge, %;FWver, hex;
1747031850;12.05.2025 06:37:30;02;13548;82500;82500;3443;3443;0;-70;55;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031910;12.05.2025 06:38:30;02;13546;82500;82500;3443;3443;0;-70;56;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031311;12.05.2025 06:28:31;02;13558;82500;82500;3443;3443;0;-67;45;20,2;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031371;12.05.2025 06:29:31;02;13556;82500;82500;3443;3443;0;-68;46;20,2;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031431;12.05.2025 06:30:31;02;13555;82500;82500;3438;3443;5;-68;47;20,2;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031490;12.05.2025 06:31:30;02;13554;82500;82500;3443;3443;0;-68;48;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031551;12.05.2025 06:32:31;02;13554;82500;82500;3438;3443;5;-69;49;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031611;12.05.2025 06:33:31;02;13553;82500;82500;3443;3443;0;-68;50;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031670;12.05.2025 06:34:30;02;13551;82500;82500;3443;3443;0;-68;52;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031730;12.05.2025 06:35:30;02;13550;82500;82500;3443;3443;0;-68;53;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031790;12.05.2025 06:36:30;02;13549;82500;82500;3443;3443;0;-69;54;20,1;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747030772;12.05.2025 06:19:32;02;13568;82500;82500;3438;3443;5;-66;36;20,3;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747030832;12.05.2025 06:20:32;02;13566;82500;82500;3443;3443;0;-66;37;20,3;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747030892;12.05.2025 06:21:32;02;13565;82500;82500;3443;3443;0;-67;38;20,3;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747030952;12.05.2025 06:22:32;02;13564;82500;82500;3443;3443;0;-64;39;20,3;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031012;12.05.2025 06:23:32;02;13564;82500;82500;3438;3443;5;-66;40;20,3;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031072;12.05.2025 06:24:32;02;13563;82500;82500;3443;3443;0;-65;41;20,3;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031132;12.05.2025 06:25:32;02;13561;82500;82500;3438;3443;5;-65;42;20,2;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031191;12.05.2025 06:26:31;02;13560;82500;82500;3438;3443;5;-65;43;20,2;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
1747031251;12.05.2025 06:27:31;02;13559;82500;82500;3443;3443;0;-66;44;20,2;00;00;00;00;00;0;0;0;00;04;00;16;0x0C;
